epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18635.9,0.76407,4.69997,1.329,0.00429,0.75856,0.01223,0.01202,0.26536,4.31306,0.70863,1.29991e-05,1.29991e-05,1.29991e-05
2,35090.8,0.50802,3.71758,1.08639,0.4849,0.05276,0.03809,0.0378,0.2044,3.44244,0.6426,2.08513e-05,2.08513e-05,2.08513e-05
3,46709.8,0.46175,3.35103,1.05549,0.44933,0.12401,0.08217,0.08137,0.18005,3.17989,0.59654,2.35555e-05,2.35555e-05,2.35555e-05
4,56262.9,0.43718,3.19734,1.0399,0.41173,0.16466,0.11009,0.10924,0.17115,3.0354,0.5724,1.5834e-05,1.5834e-05,1.5834e-05
5,64798.6,0.41969,3.11875,1.02969,0.36716,0.18656,0.12453,0.1236,0.16765,2.96381,0.56096,8.112e-06,8.112e-06,8.112e-06
