epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,20151.6,0.26282,1.89728,0.9552,0.62464,0.57861,0.62265,0.62116,0.12267,1.18181,0.51361,0.007921,0.007921,0.007921
44,20600.7,0.26281,1.89227,0.95556,0.62936,0.57809,0.62511,0.62351,0.1222,1.17609,0.51343,0.0078715,0.0078715,0.0078715
45,21051.1,0.26147,1.8899,0.95394,0.62997,0.58145,0.62713,0.62545,0.12159,1.17151,0.51221,0.007822,0.007822,0.007822
46,21504,0.26191,1.88507,0.95464,0.63144,0.5833,0.62989,0.6281,inf,1.16465,0.5107,0.0077725,0.0077725,0.0077725
47,21954.9,0.26141,1.88644,0.95393,0.63182,0.58597,0.63197,0.63026,0.11904,1.15774,0.50872,0.007723,0.007723,0.007723
48,22404.1,0.2617,1.88198,0.95389,0.63492,0.58641,0.63417,0.63249,0.11908,1.15226,0.50904,0.0076735,0.0076735,0.0076735
49,22854.1,0.26099,1.878,0.9537,0.63475,0.5887,0.6362,0.63455,0.1185,1.14506,0.50726,0.007624,0.007624,0.007624
50,23302.7,0.25859,1.87085,0.95261,0.6368,0.58827,0.63786,0.63613,0.11856,1.13969,0.50684,0.0075745,0.0075745,0.0075745
51,23751,0.25953,1.87016,0.95305,0.63942,0.58818,0.64033,0.63849,0.12031,1.13541,0.50832,0.007525,0.007525,0.007525
52,24201.4,0.25905,1.86509,0.95252,0.63764,0.59087,0.64176,0.63994,0.12154,1.1318,0.50847,0.0074755,0.0074755,0.0074755
53,24650.8,0.25703,1.8643,0.9515,0.6322,0.59783,0.64415,0.64227,0.12124,1.12672,0.50735,0.007426,0.007426,0.007426
54,25099.7,0.25788,1.8625,0.95198,0.63721,0.59679,0.64627,0.64446,0.12082,1.12199,0.50689,0.0073765,0.0073765,0.0073765
55,25549.3,0.25668,1.85382,0.95236,0.63918,0.59697,0.64798,0.64624,0.12018,1.11666,0.50583,0.007327,0.007327,0.007327
56,26001.9,0.25563,1.84835,0.95094,0.6379,0.59773,0.64989,0.64811,0.11964,1.11222,0.50559,0.0072775,0.0072775,0.0072775
57,26451.7,0.25372,1.8441,0.95046,0.63767,0.60174,0.65163,0.64989,0.11923,1.10816,0.50452,0.007228,0.007228,0.007228
58,26902.5,0.25564,1.84358,0.95179,0.6355,0.60693,0.65343,0.65161,0.11977,1.10328,0.50422,0.0071785,0.0071785,0.0071785
59,27350.9,0.25342,1.83868,0.95051,0.63361,0.60896,0.65477,0.653,0.11904,1.09855,0.50304,0.007129,0.007129,0.007129
60,27797.5,0.2547,1.83881,0.95174,0.63491,0.6101,0.65626,0.6544,0.11852,1.09477,0.5025,0.0070795,0.0070795,0.0070795
61,28248.2,0.2552,1.83053,0.95094,0.63502,0.61341,0.65748,0.65566,0.11883,1.09142,0.50259,0.00703,0.00703,0.00703
62,28696.4,0.2523,1.8345,0.94946,0.63777,0.61447,0.6585,0.65672,0.11973,1.08768,0.50445,0.0069805,0.0069805,0.0069805
63,29147.5,0.25255,1.82372,0.94981,0.63977,0.61611,0.66013,0.65836,0.12047,1.08385,0.50603,0.006931,0.006931,0.006931
64,29594.5,0.25143,1.82599,0.94932,0.63634,0.62129,0.66117,0.65927,0.11859,1.08048,0.506,0.0068815,0.0068815,0.0068815
65,30043,0.25143,1.82211,0.94988,0.64369,0.61788,0.66217,0.66019,0.11667,1.0772,0.50534,0.006832,0.006832,0.006832
66,30492.9,0.25085,1.81931,0.94856,0.6449,0.61813,0.66321,0.6613,0.11723,1.07311,0.50613,0.0067825,0.0067825,0.0067825
67,30939.4,0.24872,1.81284,0.9479,0.64623,0.61835,0.6643,0.66222,0.11745,1.06827,0.50588,0.006733,0.006733,0.006733
68,31386.8,0.24934,1.81246,0.9481,0.64257,0.62247,0.66547,0.6634,0.11748,1.06524,0.50454,0.0066835,0.0066835,0.0066835
69,31836.5,0.25026,1.81052,0.94888,0.64059,0.62745,0.66642,0.66443,0.11777,1.06207,0.50386,0.006634,0.006634,0.006634
70,32286.5,0.24903,1.81068,0.9487,0.64657,0.62253,0.66787,0.66575,0.11889,1.05799,0.50409,0.0065845,0.0065845,0.0065845
71,32735.8,0.24954,1.80275,0.94867,0.6536,0.61876,0.66909,0.66721,0.11738,1.05481,0.50186,0.006535,0.006535,0.006535
72,33184.5,0.24841,1.80522,0.94804,0.65516,0.62181,0.67044,0.66848,0.11769,1.05143,0.50105,0.0064855,0.0064855,0.0064855
73,33633.4,0.24635,1.80047,0.9472,0.66167,0.61781,0.67131,0.66937,0.11742,1.04903,0.50173,0.006436,0.006436,0.006436
74,34081.9,0.24654,1.79405,0.9471,0.65696,0.62133,0.67229,0.67022,0.11698,1.04652,0.50194,0.0063865,0.0063865,0.0063865
75,34534.3,0.2455,1.78641,0.94655,0.66182,0.62015,0.6732,0.67132,0.11638,1.04384,0.50198,0.006337,0.006337,0.006337
76,34984.2,0.24596,1.78517,0.94661,0.6571,0.62512,0.67456,0.67253,0.11569,1.0407,0.50181,0.0062875,0.0062875,0.0062875
77,35433.7,0.24535,1.78661,0.94645,0.65597,0.62701,0.67548,0.67344,0.1143,1.03822,0.50136,0.006238,0.006238,0.006238
78,35881.7,0.24511,1.78333,0.94621,0.66052,0.62476,0.67657,0.67455,0.11335,1.0351,0.50055,0.0061885,0.0061885,0.0061885
79,36331.9,0.24399,1.77664,0.94619,0.65907,0.62655,0.67711,0.67528,0.1127,1.03215,0.50028,0.006139,0.006139,0.006139
80,36781.6,inf,1.78057,0.94609,0.66337,0.62272,0.67764,0.67587,0.11342,1.0306,0.50044,0.0060895,0.0060895,0.0060895
81,37230.6,0.24338,1.77752,0.94535,0.66375,0.62743,0.67836,0.67645,0.11311,1.02865,0.49974,0.00604,0.00604,0.00604
82,37680.1,0.2429,1.77122,0.9468,0.66495,0.62854,0.67946,0.67754,0.11282,1.02605,0.49975,0.0059905,0.0059905,0.0059905
83,38179.2,0.2435,1.76803,0.94621,0.66209,0.63297,0.68025,0.67827,0.1113,1.02395,0.49703,0.005941,0.005941,0.005941
84,38675.3,0.2426,1.76563,0.94551,0.668,0.63136,0.68072,0.67868,0.1101,1.0222,0.49686,0.0058915,0.0058915,0.0058915
